country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,17.1,17.1,17.1,15.8,15.8,18.4,15,17.3,17.3,17.3,17.3,17.3,17.3,19.1,19.1,12.2,9.59,11.7,4.3,4.3,4.3,0,0,0,0,0,3.25,26.2,30.3,32,34,34,34.6,33.4,33.4,34,34,34,34,34,34,31.2,32.8,33.8,33.8,34.2,7.52
Angola,27.3,34,34,34,34,36.1,37.1,37,37,37.1,37.1,37.9,38.1,37.9,37.9,37.9,38.3,36.6,38.3,36.8,36.8,36.8,37,37.6,37.6,37.6,37.6,40.7,45,45.2,45.2,45.2,45.2,44.4,46.9,46.9,49,48.9,50.6,50.6,50.8,49.3,51.8,51.8,52.1,53.2,53
Albania,47.9,50.4,50.4,50.4,50.4,50.7,50.5,50.4,50.4,50.4,50.7,50.7,50.7,50.7,50.7,51.7,42.3,44.9,46.1,46.3,46.3,48.4,47.2,49.1,50.6,50.6,53,53.8,55.5,53.8,56.5,56.5,58.1,55.5,57.8,57.8,57.8,58,58.5,60.2,60.4,62.1,61,61.2,62,62,69
UAE,8.1,8.1,8.78,8.78,8.78,15.7,12.7,14.9,14.9,15.3,17.1,17.1,15.4,17.3,17.4,20.1,20.2,20.2,20.4,20.5,22.3,23.9,24.1,26,26,27.6,31.2,28.9,28.9,30.2,34.7,32.8,37.1,40,40,41.6,41.3,41.9,41.9,41.9,44.5,36.9,40.6,40.6,41.1,43.6,45.9
Argentina,48.4,42.8,42.8,43,43,43,43.2,40.4,49.7,55,57,57.2,59.6,59.6,59.8,59,59.8,66.7,69.2,67.6,68.5,68.5,69.1,69.1,68.8,68.8,71.3,71.3,73.5,75.6,75.6,73.9,77.6,76,77.6,77.6,77.6,77.6,75.6,75.6,76.1,76.5,77.1,74.2,75.3,77.6,76
Armenia,,,,,,,,,,,,,,,,,50,46.4,48.5,48.5,49,49,49,49,48.5,45.6,48.5,48.5,46.3,46.3,46.3,49.2,52.4,50.1,50.3,50.3,50.5,50.7,50.9,50.9,50.9,48.8,53,56,57.5,56.6,57.4
Australia,61.8,60.6,60.6,60.6,60.6,60.8,61,61,65.5,67.4,67.6,71.5,73.8,75.7,75.7,80.4,80.4,80.4,80.4,80.4,80.4,81,81.2,81.9,81.9,81.9,82.2,82.2,84,84,84,84,84.4,85.1,87.1,86.7,84.8,84.8,87.1,87.1,87.1,85.9,87.5,88.1,88.1,88.1,92.3
Austria,51.6,55.5,55.5,55.8,56,62,62.7,61,61,61,61.3,66,66,66,68,68.9,68.9,68.9,68.9,69.2,70.2,70.4,70.4,70.4,70.4,75,75,75.9,75.9,76.2,76.2,76.2,77.7,75.7,73.2,77.5,77.5,77.5,77.9,75,75,76.3,79.4,79.9,81,82.8,82.8
Azerbaijan,,,,,,,,,,,,,,,,,40.9,39.5,47.1,45.3,47.1,47.1,47.1,47.1,47.1,47.2,47.2,47.2,47.2,47.2,47.4,46.2,46.2,46.2,46.2,47,47,47,47.5,47.5,45.6,46.7,47.5,50,48.4,48.4,47.8
Burundi,30.1,30.1,31.5,31.5,31.5,31.5,34.6,38.5,37,37.7,39.2,39.5,37.4,37.4,39.1,37.4,37.4,42,46.8,46,47.3,47.4,47.4,47.9,47.9,49,49,49.3,49.3,49.3,55.3,54.6,54.7,55.8,55.9,53.6,53.6,53.6,53,54,54.1,48.8,56.6,56.1,54.2,53.2,51.6
Belgium,62.7,62.7,62.7,62.7,62.7,69.3,69.7,70.3,70.3,70.3,70.4,70.7,68.1,68.1,68.1,81.1,83,81.3,81.3,81.3,81.6,81.8,81.8,81.8,83,83.2,83.2,83.2,88.5,88.9,88.9,87,87,86.1,88.3,88.3,88.3,88.3,92.8,90.4,92.8,92.8,92.8,100,91.2,87.2,87.2
Benin,48.3,48.3,48.3,48.3,49.7,49.7,49.6,51.3,51.4,48.3,50.7,50.7,50.7,50.7,50.5,59.9,57.3,59.8,59.8,59.8,59.8,59.9,59.9,59.9,59.8,59.8,59.8,61.6,61.7,61.7,61.7,61.7,61.8,60.8,61.8,62.2,62,62,59.9,59.7,59.6,57.2,61.8,61.8,62.6,60.5,60.5
Burkina Faso,39.2,39.2,39.2,37.7,37.7,39.6,37.8,37.3,39.7,42.7,42.2,43.9,42.2,41.1,44.4,47.6,49.6,52,50.8,50.8,50.4,50.4,51.2,51.4,50.8,52.1,52.1,53.1,56.1,54.4,54.4,54.4,54.4,54.8,54.9,54.9,54.9,54.9,51.4,51.2,49.2,51.3,51.7,53.4,49.8,45.7,42.5
Bangladesh,41.9,42.1,42.1,42.1,42.4,42.4,41.2,37.6,37.9,38.4,38.4,43.7,43.7,43.9,44.2,45.9,45.2,45.2,45.2,45.4,45.4,45.2,45.2,45.2,45.2,46.5,45.1,45.1,43,43,47.5,46.7,51,46.7,51.1,51.1,51.4,51.4,50.3,50.3,49.8,48.6,46,45.3,46.6,46.6,46.6
Bulgaria,66.9,67.5,67.5,67.5,67.5,67.5,66.4,68.3,68.3,66.7,68.3,68.3,66.7,69,69,77.5,79.5,77.9,77.9,77.9,77.9,77.9,77.7,77.7,77.7,77.7,79.1,79.4,79.4,82.8,80.2,80.2,79.1,78.8,79.2,82,80.6,81.5,80.1,79.6,79.6,81.4,80.6,80.6,80.6,76.1,77.2
Bahrain,19.4,20.4,20.4,20.8,20.8,20.8,19.9,21,21,20.1,20.1,21.5,20.3,20.5,20.5,21.3,21.4,20,20,20.1,20.1,20.2,20.2,20.2,20.2,25.8,27.1,33.4,33.4,35.5,33.4,34,34,36,36,35.5,35.9,35.9,34.4,35.5,35.5,35.5,35.5,34.9,34.9,38.2,39.8
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,52.1,52.1,53.2,53.5,53.5,52.3,54.8,54.8,55.1,56.1,57.4,57.4,55.9,55.9,56,57.2,56,56.5,56.7,56.7,56.7,56.4,56.9,56.9,57.9,57.9,57.9,57.2,57.9,59.6
Belarus,,,,,,,,,,,,,,,,,60.6,55.4,59.9,62.5,62.5,62.5,62.9,62.9,63,64.2,64.2,64.2,64.2,69,66.8,66.8,68.7,69.7,69.7,67.2,67.2,66.5,66.5,67.1,67.4,70.3,73.5,70.9,74.2,70.6,63.7
Bolivia,23.8,23.8,23.8,23.8,24.2,25.6,21.2,24.4,28.1,28.4,32.4,32.4,32.4,32.4,34,35.5,35.5,35,35.6,36.3,38.8,40,41.4,41.4,43.2,43.6,43.6,44.2,44.2,44.2,45.3,50.7,52.1,51.8,53.1,56.3,56.1,56.1,56.1,57.6,57.6,54.8,59.4,56.6,60.7,63.6,59.3
Brazil,40.1,40.1,40.2,41.5,41.5,41.6,42.1,42.2,42.2,42.2,45.9,50,50.1,55.5,60.1,58.4,55.8,55.8,55.8,58.6,62,62.7,62.7,64.4,64.4,64.4,64.4,68.6,68.6,70.2,70.2,70.2,71.4,70.3,70.2,73.4,75.4,75.4,75.1,75.2,75.2,70.7,61.4,60.3,59.8,62.3,58.4
Barbados,66.3,66,66,66,66,68.3,68.3,68.3,68.3,68.3,68.5,68.5,68.5,68.5,68.8,71,71,71,71,71.5,71.9,71.9,71.9,71.9,71.9,71.9,71.8,71.8,74,72.3,72.3,74.2,72.3,72,72,72,72,72,72.5,72.5,72.5,72.5,73.6,75.7,75.7,77.1,78.8
Bhutan,32.9,32.9,32.9,32.9,32.9,34.4,36.5,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,37.7,37.1,37.1,37.1,37.1,38.8,39.1,39.6,41.1,42.9,46.5,48,48,48.1,50,51.1,50.1,48.5,54.6,52.5,56.2,55.6,54.1,57.6,56,56,62.1,57.7,59.8,56.5,58.9,61.4
Botswana,41.4,45.7,41.4,41.4,42.8,42.8,40.4,43.5,45.4,43.7,46.9,48.9,46.9,46.9,44.1,44.4,44.4,44.4,47.3,48.4,49.7,47.7,49.7,49.7,51.7,52,52,52,52,51.1,52.4,52.4,50.7,54.3,52.1,52.1,54.1,54.1,56.3,56.5,56.7,56.4,56.4,54.6,58,56.7,56.3
Central African Republic,33.6,33.6,33.6,33.6,33.6,37.7,34.4,36.3,36.3,34.4,36.3,36.3,34.1,36.1,36.1,37.8,37.8,37.8,40.1,40.1,40.1,42.4,42.4,43.2,43.2,44.6,44.6,44.6,40.1,44.8,43.8,43.8,43.8,45.4,43.6,45.2,45.6,45.6,44.5,45.8,48.3,45.5,45.3,47.8,44.8,44.9,44.5
Canada,58,59.2,62.3,62.3,62.3,62.4,63.1,67.6,69.3,68.5,69.7,70,68.8,70.4,69.3,73.3,71.1,71.1,72.7,76.2,76.2,76.2,78.7,78.7,78.7,81.9,81.9,81.9,83.4,83.6,82.1,79.7,76.7,78.7,79.3,79.3,78.3,78.3,78.3,78.3,80.2,82.4,84.3,84.3,89.1,81.5,79.8
Switzerland,57.2,57.4,57.4,57.4,58,59.2,61.3,61.3,61.3,61.3,62.7,62.7,63,63,63,68.2,68.6,68.6,68.7,68.7,68.9,69.1,69.1,70.3,70.3,75,75,75,78.3,78.5,78.5,72.8,74.5,75.1,74.5,75.7,75.9,75.9,75.9,75.9,76.3,75.1,75.1,76.5,76.9,84.4,84.4
Chile,23.9,23.9,26.5,26.5,26.5,28.6,28.6,32.3,32.3,32.3,32.5,32.5,32.5,32.5,30.8,46,46,46.6,44.7,46.9,46.9,46.6,47.4,47.4,47.4,59.1,59.3,59.3,59.3,59.3,61.3,61.3,61.7,61.7,61.1,61.1,61.1,61.1,61.5,64.5,63.6,59.8,61.4,60.6,61.4,62.8,61.8
China,44.3,44.7,44.7,43.7,43.7,46.4,46.5,46.5,46.5,46.7,46.7,45.1,45.1,45.1,45.1,46.1,46.1,46.4,46.4,46.4,46.4,46.4,46.4,46.6,46.6,47.6,47.6,47.6,47.8,47.7,47.7,47.9,46.1,48.3,46.5,49.5,50,49.7,49.4,49.5,49.6,49.8,50,50,50,50,48.8
Cote d'Ivoire,36.7,36.7,36.7,36.7,36.7,35.6,37.8,37.8,37.8,37.8,38.1,38.1,38.1,38.1,38.3,40.2,40.2,40.2,40.2,44.3,45,46.5,48.6,48.6,48.9,53.8,53.2,53.2,51.5,51.5,51.5,51.9,52.1,51.9,51.9,52.5,52.5,52.7,51.9,51.9,51.9,50.9,51.4,51.4,51.6,52.1,53.7
Cameroon,24.8,24.8,24.8,25.8,25.8,25.8,29.4,28.1,30.2,33.8,32.7,32.7,32.7,30.6,30.6,38,37.9,39.3,37.8,39.3,39.3,39.3,38.4,39.3,39.3,45.6,48,48.5,47.2,47.2,47.2,47.2,47.8,47.8,47.8,50.5,50.7,50.7,51.6,51.6,51.6,50.7,52.6,49.8,52,52.3,53.3
"Congo, Dem. Rep.",23.7,23.7,20.9,20.9,20.9,27.1,26.9,27.8,27.8,27.8,27.8,27.8,27,31.8,30.5,30.8,30.6,33.5,37.3,38.7,38.7,38.7,38.7,38.9,38.9,40.3,39,39,41.4,40.1,40.1,39.8,39.8,39.8,39.8,40.8,41,41.2,41.4,41.4,39.6,42.3,45.2,45.3,44.6,44.6,45.9
"Congo, Rep.",24.6,25.1,24.3,24.3,25.2,25.2,27.4,27.4,27.4,27.5,27.8,27.8,27.8,27.8,26.6,33.7,32.8,32.8,24,26.2,26.2,26.2,24.5,26.4,26.4,26.4,26.4,28.4,26.8,26.8,26.8,26.8,26.9,26.9,26.9,27.8,26.2,30.8,30.8,31,31,29.4,31.7,34.6,38.3,38.7,34.1
Colombia,31.9,31.9,31.9,31.9,31.9,34.4,34.8,34.6,34.6,33.4,34.6,35,33.8,33.8,35,40.4,52.3,53.2,53.5,53.5,53.5,54.4,54.4,54.6,54.6,54.9,54.9,54.9,54.9,54.9,54.9,52.7,54.3,52.7,52.7,54.1,54.1,54.1,54.1,54.8,54.8,53.8,53.8,54.7,54.7,50.6,49.2
Comoros,29.6,42.8,42.8,42.8,32.8,27.7,27.7,27.7,27.7,27.7,28.1,28.1,28.1,28.1,28.1,36.2,37.8,37.8,38.3,36.8,36.8,36.8,35.3,35.6,37.8,39.3,40,40,40.2,37.2,39.2,36.7,36.7,37.5,37,37.5,37.5,41.2,41.6,40.3,39.7,44.6,42.8,41,43.3,46.1,46.1
Cape Verde,39.5,43,43,43,43,43.9,43.9,44.2,44.2,44.2,44.2,44.2,44.5,44.5,44.5,44.5,43.3,43.6,46,46.3,47.6,47.9,47.9,47.9,47.9,49.1,49,52.9,52.9,53.1,53.1,53.7,54.1,57.6,56,56.2,56.4,60,60.2,59,60.5,56.3,57.1,57.1,57.3,56.8,59.6
Costa Rica,44.9,45.6,45.6,46,47.3,49.8,51.3,51.8,52.1,51.6,51.6,53.6,58.4,60.3,61.1,66,67.5,67.5,67.5,65.9,67.7,67.7,67.7,69.7,68.4,77,77,81,81,81,82.7,83.6,81.2,81.2,81.2,83.6,83.6,83.6,83.6,83.1,80.4,80.4,80.4,81,81,81,84.2
Cuba,57.2,58.6,58.6,58.6,65,65,63.9,64.1,64.1,64.1,64.1,67,65.9,66.5,66.8,70.8,68.6,68.8,67.9,67.9,68.2,68.2,68.5,69.1,69.1,69.4,69.4,71.6,72.3,71.3,71.3,73.6,71.6,71.4,74.4,71.1,73.3,73.3,71.6,71.6,71.6,68.3,68.9,69.1,74.2,72.9,72.9
Cyprus,41.4,43,43.3,43.3,43.6,45.8,44.2,46.1,46.1,44.5,44.3,46.2,46.2,46.2,46.2,52.4,56.9,56.9,55,55,55.3,55.4,55.4,57.2,57.2,61.9,62.5,62.5,60.9,64.9,66.7,64.9,66.8,67.9,67.7,68.1,66.2,65.1,64.8,65.2,65.2,70.9,70.1,70.6,66.4,72.3,66.9
Czech Republic,56.4,56.6,56.6,56.6,57,57,53.6,58.3,58.3,53.6,58.3,60.6,58.7,60.6,60.7,71.5,76.4,76,76.1,76.5,76.5,77.3,77.3,77.3,77.3,77.3,77.3,78.1,75.5,78.1,75.5,78.3,78.3,78.3,78.3,77.5,79.8,79.8,80.1,80.1,80.1,83.5,78.9,81.2,73.4,71.9,79.9
Germany,63.9,64,66,67.9,67.9,66.2,68,68,68.4,68.4,68.4,68.4,69.1,69.1,69.1,74.8,74.8,76.4,75,77,77,75.6,75.6,81.3,81.2,84.5,84.5,85.1,85.1,86.7,88.6,88.6,90.9,88.7,90.9,90.9,90.9,90.9,90.9,90.9,90.9,92,88.1,90.1,90.9,90.9,90.9
Djibouti,,,1.43,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,16.1,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,23,24.1,27.7,34,34,34,36.2,34.4,34.4,34.8,34.8,34.8,34.8,34.7,34.8,34.8,29.2,36.6,34.8,35.2,35.2,39
Denmark,82.9,82.9,83.1,88.9,90.1,90.1,87.4,89.6,87.6,87.6,87.6,87.6,88.5,91.6,91.6,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,94.4,94.4,94.4,94.4,94.4,94.4,97.9,92.9,91.2,94.4,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9
Dominican Republic,23.3,23.3,23.3,23.1,31.4,31.4,37.2,35.1,35.1,35.1,35.5,37.6,37.6,38,38,40.1,40.1,40.5,40.5,37.3,37.5,38.5,46.6,47.2,47.3,47.3,47.3,47.7,47.7,47.7,47.7,48,48,48,48,48,48,48.4,50.4,50.4,49,43.5,47.1,47.1,52.9,49.7,56.3
Algeria,37.9,37.9,37,37,37.3,38.8,37.2,36.2,36.2,36.8,36.8,36.8,37.1,37.5,37.3,38.7,38.7,42.4,40.3,42.4,42.4,42.4,41.7,41.9,41.9,45.1,45.1,45.7,45.7,43.8,45.7,45.9,45.9,47.4,46.9,48.3,47.9,52.7,55.8,57.1,57.4,53.9,54,58.6,58.4,56.7,52.7
Ecuador,17.2,17.2,17.2,17.2,27.9,34.2,33.4,33.6,33.6,34.4,34.4,33.8,33.8,34.7,34.7,40,41.5,41.3,39.8,37.6,37.8,41,41,46.4,46.4,50.7,50.7,50.5,50.5,50.5,50.5,51.1,54.6,58.1,58.5,59.8,59.8,60,59.6,59.6,59.6,59.4,60.3,60.3,59,60.3,59
Egypt,24.9,24.4,24.4,24.4,26.6,26.6,29.7,30.5,31.7,31,32.2,31,28.5,28.5,28.8,29.8,29.8,29.8,31.6,29.8,29.8,31.5,31.5,31.5,31.5,34.6,34.6,34.6,32.5,33.4,31.4,31.4,31.4,31.6,31.6,35.6,33.5,33.5,29,33.3,35.9,34.3,38,38,39.6,41.3,41.5
Eritrea,,,,,,,,,,,,,,,,,,,26.3,29,30.8,30.8,30.8,30.8,30.8,30.3,30.3,30.3,28.8,29.9,28.8,28.8,28.8,28.8,27.2,27.2,27.2,25.3,26.1,27.9,27.9,26.3,26.3,26.3,27.5,30.8,31.9
Spain,27.7,28.6,37.8,47.8,48.6,54.7,56.3,57.7,59.9,57.7,58,63.1,63.1,63.4,64.2,67,68.6,68.9,67.2,69.2,69.2,70.2,70.2,70.5,70.5,75,75,75.4,76.1,81.7,83.7,83.7,83.7,83.7,83.7,83.7,83.7,83.7,83.7,84.4,84.4,82.9,88,91.7,91.7,92.8,86.1
Estonia,,,,,,,,,,,,,,,,,77.1,76.9,75.4,75.4,76.4,76.4,76.4,76.4,76.7,79.4,79.4,79.4,79.4,79.4,79.4,76.8,77.8,80.4,80.7,80.7,80.1,82.1,81.4,79.5,85.6,86.8,83,83.4,83.4,88.3,87.8
Ethiopia,16.1,16.1,16.1,16.1,16.1,22.1,22.6,22.6,22.6,18.1,22.6,18.1,24.3,21.6,21.6,21.6,27.1,27.9,28.3,29.6,33,30.7,30.7,30.7,31.2,33,33.4,33.4,33.4,33.4,34.8,34.8,32.3,30.9,32.3,32.5,32.5,30.2,32.9,32.9,33,29.4,33,33.7,33.8,53.1,53.8
Finland,66.3,66.3,66.6,66.6,66.8,69.9,72,73.2,72.7,72.7,73.9,73.9,73,74.3,74.3,73,74.8,74.8,73.4,74.8,77.2,80.1,80.1,82.1,82.1,83.6,81.8,81.8,82.5,82.5,82.5,82.5,84.3,82.5,84.3,84.3,84.3,84.3,84.3,84.3,84.3,85.3,82,82,94.7,94.7,94.7
Fiji,30.2,30.2,29.4,29.4,29.4,29.6,29.1,29.1,29.1,29.2,29.2,29.2,29.2,29.2,29.2,29.2,31.3,32.7,35.4,40.2,40.2,40.2,41.2,42.2,43.3,42.9,42.5,42.5,42.5,42.8,42.8,43,40.5,40.5,38.3,39.1,39.1,40.1,40.1,44.6,48.8,46.6,47.2,47.7,48.9,48.1,45.2
France,57.9,57.9,58.2,58.3,58.5,60.3,61.8,61.8,61.8,61.8,61.8,62.1,62.1,62.1,62.1,70,70,71.6,70.3,70.3,71.5,70.3,70.7,74,72.4,76.6,76.6,79,76.7,79,76.7,76.7,78.6,81.9,81.4,81.4,81.4,82.8,82.8,80.5,82.3,83.2,86.6,87.7,83.6,87.7,87.7
Gabon,32.9,32.9,32.9,32.9,33.3,34.9,36,36,37.8,36.3,37.8,37.8,36.6,36.6,38.1,38.9,43.9,43.9,43.9,46.1,46.1,43.9,44.7,44.7,45,46.4,48.3,48.3,48.5,48.5,48.5,48.9,49.6,49.2,49.2,49.6,48.2,50,50.1,50.1,50.3,50.6,52.2,53.3,54.6,55.9,55.9
UK,59.8,59.8,61.4,61.4,61.3,63.1,61.9,61.9,61.9,61.9,62.2,62.2,64.2,64.2,64.5,64.6,61.8,60.5,60.5,60.5,60.8,60.8,63.3,63.3,63.3,63.3,63.3,63.3,63.3,63.3,67.2,67.2,68.3,65.8,67.5,70.1,70.1,73.3,73.3,73.3,74.1,75.2,74.5,74.5,67.1,73.9,74.8
