country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Nicaragua,22.1,22.1,22.1,22.1,25.3,44.5,44.8,46.2,44.7,44.8,47.2,45.7,45.7,45.7,45.7,50.2,50.2,50.2,51.7,51.7,50.6,50.1,50.1,47.6,46.1,46.3,47.1,47.2,49.2,47.4,47.4,47.2,52.1,53,51.1,53.7,54.5,56.7,56.7,56.7,56.7,55.3,52.1,48.4,49.5,53.9,53.9
Netherlands,57.8,57.8,58.5,58.5,58.5,61.7,63.6,62.9,63.1,65.8,64.9,65.1,71.4,70.1,70.6,73.7,72.5,72.5,76.6,77.9,80.1,80.1,80.1,82.1,80.3,88.5,88.5,88.7,94.8,91.9,91.9,91.9,92.2,92.2,97,97,97,97.4,89.8,89.8,89.8,89.8,88.7,84.1,84.5,84.5,89.9
Norway,82.7,88.5,89.7,89.7,89.7,89.9,87.2,87.2,87.2,87.2,91.9,91.9,91.9,91.9,91.9,92.2,92.2,92.2,93.9,93.9,93.9,93.9,92.4,92.9,92.9,92.9,92.9,92.9,92.9,93.5,98.7,98.7,96.5,98.7,98.7,98.7,98.7,98.7,98.7,98.7,98.7,96.1,94.2,100,100,100,100
Nepal,18.9,18.9,19.7,19.7,19.7,20.6,21.3,23.2,23.2,23.2,23.2,25.6,25.9,25.9,25.9,36,37.7,39.1,39.1,39.1,39.1,39.1,39.1,39.5,42.1,45.8,45.8,46.6,46.6,46.6,46.8,44.3,47.8,58.2,57.1,56.5,56.5,55,55.4,56.6,57.5,61.7,62.3,59.1,58.6,57,56.5
New Zealand,60.2,60.9,60.9,61.2,61.2,61.2,62.5,62.5,62.8,63.8,65.7,65.7,65.9,66.2,66.2,70.6,70.6,70.6,71.5,71.5,73.5,74,74,77.5,82.8,82.8,82.8,82.8,83.1,83.1,85.2,82.9,84.3,85.4,84.7,87,87,87,87,87,87,85.4,87.7,87.7,87.7,87.7,87.7
Oman,16.1,17.1,17.1,17.1,17.1,18,14.8,14.8,16.9,14.8,16.9,17.6,17.6,17.6,17.6,18,18,18,21.4,21.7,21.7,23.4,24.7,25,25,27.1,27.3,28.4,30.3,29.9,28.7,28.7,29.3,28.1,29.5,29.5,30.4,30.6,30.6,30.7,30.7,30.8,30.8,30.8,31.2,26.2,27.6
Pakistan,35.9,35.9,37,36.2,36.2,36.2,31.8,34.5,34.5,31.8,38.1,38.1,38.4,45.8,47.4,42.1,39,39,39,39,39,39,39.9,39.9,42,43.1,46.7,49.2,49.2,49.3,49.3,49.3,49.3,46.7,47.1,54.6,54.6,54,52.1,54.4,52.7,54.9,51.3,51.3,49.6,49.8,54.7
Panama,36,36,36,37.8,37.8,37.1,37.3,32.9,32.9,36.4,36.5,36.5,36.5,36.5,36.5,52.4,52.4,52.4,52.4,52.8,52.8,54.1,54.3,52.9,54.5,58.4,58.4,58.6,57.1,59.2,59.2,59.2,60.7,60.8,60,60,60,60,61.9,62.9,62.9,62.9,61.8,61.8,62.2,60,58.4
Peru,24.5,24.5,24.5,24.9,24.9,33.5,33.7,33.7,33.7,35.9,35.9,38,38,38,35.5,40,41,41,44.7,44.7,45,47.2,47.2,47.2,47.6,50.3,51.4,52.2,52.2,52.2,53,51.8,53.8,51.8,51.8,52.8,52.8,52.8,53.3,53.3,52.8,53.9,53.7,57.9,61.2,56.4,59.9
Philippines,44.5,44.5,44.5,44,44.2,44.2,45.8,45.8,46,46,46,59.5,59.8,58.8,59.2,60.1,60.1,60.7,60.7,60.7,60.6,61.7,62,62.6,62.4,65.7,64.8,64.8,64.8,64.5,64.5,64.7,65.3,65.3,65.3,68.6,66.9,66.9,65,65,67.5,64,62.5,62.5,60.6,60.6,60.6
Papua New Guinea,22.6,22.6,24.2,24.2,24.6,24.6,24.7,24.3,25.3,24.3,25.3,25.3,24.9,24.9,25.2,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.6,24.6,24.6,24.6,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,23.3,23.3,23.9,23.9,23.9,23.9,23.9,23.2,23.2,23.2,19.5,21.3
Poland,55,55.4,55.6,55.6,55.8,57.6,57.1,55.7,57.3,55.7,57.3,57.3,57.3,57.3,61.6,76.6,78.9,77.5,77.8,77.8,77.8,77.8,77.8,77.8,75.1,77.8,78.3,79.7,78.7,78.7,78.7,78.7,80.1,78.7,78.7,78.7,79.8,79.8,79.8,79.8,80.1,80,71.9,71.9,71.9,72.7,70.2
North Korea,44,44,44,44,44,44,44.8,44.8,44.8,43.8,43.8,43.9,43.9,43.9,43.9,43.8,43.8,44.1,44.1,44.1,45.2,45.2,45.5,45.5,45.5,45.8,45.8,45.8,42,46.3,43.1,46.5,46.7,46.2,46.2,46.5,47.1,47.4,47.7,47.4,47.4,42.3,45.4,42.3,42.5,42.5,42.5
Portugal,59.7,62.1,64.1,66,66.4,62.1,61.2,62.8,63,63,62.8,62.8,63,63.2,63.2,64.8,65.2,65.2,65.2,65.4,70.7,70.7,70.9,72.2,71.5,73.1,73.1,73.6,73.6,73.9,71.8,70.4,72.4,72.4,72.7,73.9,72.7,75.7,72.7,73,75.4,81.8,75.9,77.3,76.6,84.4,81.3
Paraguay,18.2,18.2,18.2,17.8,17.8,17.8,18.8,18.8,17.7,17.7,17.8,17.8,17.8,18.4,24.8,35.3,35.3,37.3,38.5,38.5,38.5,38.5,38.7,38.7,38.7,42,42,42,43.1,43.3,43.5,43.5,43.5,46.1,46.1,48.4,48.4,48.4,48,48.3,48.5,47.1,48.3,48.5,48.6,46.6,50
Palestine,,,,,,,,,,,,,,28.7,29,29,29,29,34.1,38.9,39.8,42.9,44.6,46,46,47.6,47.6,47.9,47.9,50.7,51.5,53.1,53.5,53.5,53.7,51.3,51.5,51.5,51.5,51.6,49.9,50.1,50.1,46.9,47,44.6,38.9
Qatar,14.3,14.7,14.7,14.7,15,15,15,15.2,15.2,15.4,15.4,15.6,15.6,15.7,18.1,25.4,26.7,26.8,26.9,26.9,26.9,33,31.2,31.2,31.2,33.8,33.3,33.3,32.9,31.4,32.9,31.6,33,33,33,33,33,33,33,33,33,37.9,39.1,37.6,37.6,34.8,34.4
Romania,60.7,60.7,60.7,60.9,60.9,62.3,65.1,65.1,65.3,65.3,66.4,66.4,65.6,65.6,65.6,58.4,56.8,56.8,56.8,56.8,57,59.3,59.3,59.3,59.3,61.2,61.4,61.4,63,63.1,61.6,61.4,59.9,61.7,61.7,63.4,61.9,62,61.4,61.6,61.6,62.6,62.9,65.1,69.1,67.8,66.8
Russia,50.6,50.6,50.6,50.6,50.8,50.8,53.1,53.1,53.1,53,53,53,53,53,49.9,52.2,50.4,51.6,52.2,52.6,52.1,52.1,52.1,52.1,51.4,48.7,51.4,50.9,49.4,49.4,50.9,51.3,53.1,51.3,51.3,51.3,51.3,51.3,51.3,51.3,51.3,53.8,51.7,51.7,50.6,50.4,50.4
Rwanda,28.4,28.4,28.4,28.4,28.8,32.6,33.8,33.8,35,35,35,35.3,35.3,35.4,35.4,38.1,38.1,38.6,37.9,37.5,44.7,44.7,48.9,50.9,51.1,57.9,59.2,59.2,63.2,66.5,66.5,64.8,67.7,66.1,66,67.1,67.1,67.1,67.1,68.9,67.1,68.9,67.1,68.3,63.9,66.3,67
Saudi Arabia,4.3,4.3,4.3,4.3,4.3,4.3,0,3.25,3.25,3.25,3.25,4.56,4.56,4.56,5.29,5.29,9.72,10.1,10.1,10.1,10.1,10.4,10.4,10.4,10.4,13.1,10.6,10.6,9.11,9.11,9.11,9.11,9.23,11.9,12,12,12.1,14.1,17.8,17.9,17.9,15.7,18,18.1,21.9,20,21.9
Sudan,19.4,20.2,20.2,20.4,20.4,23.7,25.3,26.6,26.6,26.6,25.6,25,23.3,25,22.3,24.8,24.8,28.4,28.6,28.6,28.6,29.5,29.8,28,27.9,26.6,28.7,28.7,28.7,28.9,29.6,27.8,27.8,29.7,27.9,29.8,28.2,30.1,28.2,28.2,28.4,32.7,31.7,34.7,33.5,28.7,30.8
Senegal,42.8,44.2,44.2,45,45,46.6,44.2,47,47.8,50.1,50.1,50.1,50.1,50.4,48.3,49.3,49.3,49.3,51.4,49.3,49.3,50,50,50,50,49.7,53.4,53.4,52.8,52.8,52.8,51.6,54.6,51.8,51.8,53,53,57.4,58.4,58.4,58.4,56.2,59.9,59.2,58.5,57.1,57.1
Singapore,46.8,46.8,46.8,47.2,47.2,47.4,46.6,43.9,44.3,47.9,47.9,45.2,48.3,45.9,45.9,52.1,48.8,48.8,52.2,49.4,49.4,49.4,53.7,53.7,57.9,65.9,67.5,67.5,67.5,67.9,67.9,69,69.5,69.5,69.9,69.5,66.5,66.5,66.5,69.5,66.9,69.2,65.5,70.4,66.4,66.9,68.8
Solomon Islands,,,,14.8,14.8,14.8,14.8,14.8,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.6,15.6,17,17,17,17,17,17.3,19.4,19.6,21.9,21.9,21.9,22.9,26.3,25.1,23.5,22,25.1,25.1,25.1,26,25.1,26,26,26,26.2,24.6,26.8,29,29
Sierra Leone,26.4,26.4,26,26,26,27.9,27.6,28,28,28,28,27.9,27.9,27.9,27.9,27.9,31.7,33.4,33.7,32.7,31,40,44.3,44.3,44.3,47.1,47.2,51.3,52.3,52.8,52.8,53.1,52.9,51.7,51.7,52.5,52.5,52.3,56.2,56.2,56.2,54.1,57.5,55,55,55,55.9
El Salvador,24.3,24.3,24.3,24.6,25.9,34.4,36.2,36.2,36.2,36.2,38.6,38.6,36.4,39.7,39.7,37.8,37.4,38.6,38.8,42.6,42.6,42.6,43.3,45.5,43.6,42.7,42.7,42.7,43,47.6,43.3,44,44,44,45.5,45.9,46.3,46.7,46.8,46.2,46.7,44.7,49.9,46.9,46.7,46.1,43.6
Somalia,11.7,11.7,11.7,11.7,13.8,13.8,17.4,17.4,17.4,14.4,16.4,16.4,16.4,16.4,16.4,17.1,12.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,13.2,13.9,13.9,13.9,13.9,13.9,17.4,17.4,22.9,24.2,22.2,24.2,25.3,26.9,26.9,28.2,25.8,26.3
Serbia,47.2,47.2,47.2,47.6,47.6,47.6,49.9,50.2,50.2,50.2,50.2,50.4,50.4,50.4,50.4,53.3,50.6,49.8,49.3,49.3,49.3,50,50,52.4,52.4,55.4,55.4,55.4,57.3,55.7,55.7,55.7,58.9,57.4,57.6,58.8,60.4,63.1,63.1,61.4,63.1,60.4,60.3,62.3,65.6,66.3,66.3
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.1,31.1,30.6,28.9,30.6,27.5,28.4,29.6,28.9,28.9,28.2
Suriname,44.7,46.3,46.3,46.3,46.3,47,47,47.3,47.3,47.3,47.8,47.8,47.1,48.5,48.5,50.8,50.1,51.6,53.8,54.1,54.1,55.8,55.8,55.8,56.2,56.4,55.8,55.8,55.8,56,56.5,56.5,56.8,56.8,56.8,54.9,54.9,54.9,54.2,55.2,56.6,58.6,56.6,56.8,59,59.4,59.1
Slovak Republic,,,,,,,,,,,,,,,,,,,65.3,65.1,63.5,63.5,63.5,65.7,65.6,64.1,65.4,66.4,66.4,66.4,66.4,66.6,66.8,65.4,65.4,67.6,67.6,66.9,66.9,67.1,67.1,67.8,63.3,65,68.6,69.9,68.7
Slovenia,,,,,,,,,,,,,,,,,63.2,66.3,70,70,70.5,69.7,69.7,70.2,70.2,70.8,69.3,69.8,69.8,69.8,69.8,69.8,71.9,67.4,73.8,74.4,77.5,81.6,82.3,82.3,82.3,84.7,78.9,80.3,81,69.8,68.4
Sweden,73.4,73.4,77.5,77.5,81,81.4,80.5,80.5,80.5,80.5,82.8,84.2,85.4,87.7,93.6,90.6,89.6,89.6,89.6,90.6,90.6,91.1,93.6,93.6,93.6,93.6,93.6,93.6,93.6,93.6,93.6,93.6,93.6,93.6,93.6,93.6,91.9,91.9,91.9,91.9,91.9,91.9,89.1,91.8,92.3,92.3,92.3
Eswatini,38.2,38.2,38.2,38,39.8,41.3,39.1,37.7,41.3,41.1,41.1,41.1,41.5,41.5,41.5,44.1,44.1,38.6,40.1,41.4,40.1,40.1,40.1,40.3,40.3,41.4,41.4,41.4,43,43,43,43.5,43.8,43.4,43.4,43.4,43.4,43.4,41.4,42.9,41.6,41.6,41.4,41,43.1,43.1,42.5
Syria,35.7,35.7,36.1,36.4,36.4,36.4,38.3,38.3,38.6,40.2,38.6,39,39,39.3,39.3,41.9,41.9,41.9,42.2,42.4,42.4,42.4,42.4,42.9,42.9,45.9,44.2,44.2,44.6,44.6,44.6,42.2,43.2,43.2,44.9,45.2,44.6,40.4,38.3,38.3,38.5,36.2,36.3,34.5,34.3,34.6,34.8
Chad,27.2,25.2,25.2,25.2,25.2,22.7,22.7,21.7,21.7,22.2,24.2,22.2,23.8,23.8,25.6,25.8,33.1,33.1,34.9,33.3,33.3,34.9,33,33,33,33.6,33.6,34.5,30.9,32.9,32.9,32.9,32.9,33.1,33.1,31.2,32.7,32.7,33.9,33.9,33.9,31.5,35.9,35.9,38.3,38.3,34.9
Togo,32.3,32.3,32.3,32.3,32.3,35.1,37.8,37.8,37.8,38,35.8,35.8,35.8,39.3,39.3,40.3,42.9,45.8,45.8,41.4,41.4,41.6,41.6,43.6,44.2,48.7,47,47.4,45.4,45.6,47,48.7,51.8,51.7,53,56,56,56,57.2,57.4,57.4,57.4,59,58.9,61.9,60.8,60.6
Thailand,44.2,46,46,44.7,44.7,47.5,46.9,46.9,48.7,47.1,48.9,48.9,47.4,48.7,49.9,52.1,53.7,55.3,55.8,56,56.2,58.3,61.6,62.9,63.2,64.8,65.3,65.3,65.6,64.3,64.8,63.5,64,64.2,64.5,64.7,66.2,66.2,66.6,64.7,62.7,60.8,61.8,62.1,66.4,64.1,64.1
Tajikistan,,,,,,,,,,,,,,,,,34.7,29.9,21.8,20.1,25.3,23.8,23.8,23.8,23.8,22,22,22,29.5,29.5,27.6,27.8,27.8,27.8,27.8,29.6,29.6,29.6,31.1,31.1,31.1,25.1,24.7,24.7,24.7,26.1,23.9
Turkmenistan,,,,,,,,,,,,,,,,,34.2,32.5,31.4,33,35.5,35.5,35.5,35.5,35.7,35.9,35.9,35.9,35.9,33.3,35.5,35.5,37.8,38.1,38.1,38.1,36.5,36.7,38.2,38.2,38.3,40.1,39.5,38.8,39.6,39.4,41.2
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.1,47.1,45.4,45.7,46.5,46.6,46.6,46.9,45.4,45.4,47.5,47.5,47.7,46,43.3,44.8,46.9,48.2,50.4,50.7
Trinidad and Tobago,40.8,42,43.2,43.2,43.4,48,53.2,53.2,53.6,53.6,52.8,55.9,59.3,59.3,59.3,59.6,60.9,60.9,61.1,60.4,59.7,59.7,59.7,61.2,61.2,65.6,65.9,66.7,66.7,68.6,66.7,65.3,69.4,69.4,69.4,73.8,73.8,74.1,71.4,71.4,71.4,73.2,73.2,73.2,73.2,71.1,71.7
Tunisia,34.9,34.9,34.9,34.9,36,37.7,39.5,39.5,39.5,39.8,42.5,43,42.5,47.5,44.4,46.3,46.3,48.5,48.5,51.5,51.5,49.5,51.6,51.6,52.5,53.6,51.6,51.8,54.5,55,55,53.2,53.2,53.2,53.9,53.2,61.1,62.1,60.6,61,63.6,60.8,61.8,62.1,61.9,62.4,63.8
Turkey,38.1,38.1,38.1,38.1,38.3,40,38.8,37.1,37.8,39.7,39.7,37.8,37.8,42.4,40.7,46.3,45.4,42.8,42.8,42.8,42.2,46.5,46.5,46.5,46.6,45,46.6,46.9,43.6,43.6,41.9,42.8,47.7,44.2,44.5,46,47.3,47.3,45.7,45.9,46.1,44.1,42.8,45.3,44.5,44.7,44.6
Taiwan,32.4,34.8,34.8,34.8,34.8,39.3,39.9,40.3,41.7,42.2,42.2,43.9,43.9,45.6,49,55.1,57.8,57.4,57.1,55,55,54,54.7,54.7,56.4,65.7,68,68.5,68.5,68.5,68.2,66.7,68.5,71.7,68.1,70.2,70.2,70.7,72.5,72.5,72.9,83.3,83.3,83.8,83.8,85.8,90.5
Tanzania,39,39.5,39.5,39.5,40,40,42,45,42,42.4,42.3,45,42.5,45.3,46,49,49.2,49.3,47.1,49.8,51.8,52.6,52.6,52.9,52.9,54.2,56.5,56.5,56.5,56.8,55.7,55.7,54.2,54.2,54.2,58,58.8,58.8,55.8,55.4,57.5,59.1,63.2,60.1,58.3,61.1,63.8
Uganda,29.1,29.1,29.1,29.1,29.5,32.3,32.3,32.3,32.3,32.6,32.7,38.3,37,38.7,43.2,42.7,42.7,42.7,42.7,43.2,46.9,51.4,53,53,53.2,55.2,55.8,55.2,55.2,55.2,55.2,55.4,57.8,57.7,54.3,54.4,56.6,57.3,57.3,56.6,55.9,52.9,55.6,55.6,55.6,55.9,52
Ukraine,,,,,,,,,,,,,,,,,56,53.8,51.8,52,55.7,55.7,55.5,56.2,56.2,56.2,56.2,55.6,55.2,61.2,67.7,68,69.5,68,68,66.3,65.4,65.8,67.7,67,67.1,71.2,68.5,67.3,71.9,73.7,70.6
Uruguay,48.6,48.8,48.8,48.8,48.8,50.4,47,47,47,45.9,58.4,58.4,58.4,58.4,61.6,66,66,66,66,66.1,66.1,66.1,66.1,66.1,66.8,66.8,66.8,66.8,66.8,66.8,66.4,66.4,66.4,69.3,70,71.9,73.5,73.5,73.5,74.4,74.4,72.3,75.5,75.7,75.7,66.3,66.2
USA,52.9,53,53,52.9,52.9,61.6,60.7,60.8,60.8,62.6,62.6,62.6,62.6,62.7,63.6,66.1,66.3,66.8,67.7,67.7,67.7,67.8,67.8,68,68,72.8,71.5,71.5,71.5,71.6,72.7,72.7,72.7,74.4,74.4,77,77,77,77,74.6,77.2,76.4,73.7,74.6,74.1,76.3,69.3
Uzbekistan,,,,,,,,,,,,,,,,,46.3,46.4,44.3,43.7,43.9,44.2,44.2,43.2,43.4,43.8,43.9,43.9,44,45.2,45.2,45.3,45.3,45.3,44.3,45.6,45.7,45.7,46.2,46.9,46.9,47.3,47,47.4,49.4,52.9,52.9
Venezuela,52.7,53.1,53.1,53.1,53.1,53.1,52.1,52.1,52.6,53.7,53.7,51.8,51.8,56.8,57.6,57.4,59.1,59.1,58.9,58.9,58.9,58.9,58.9,60,67.2,69.1,69.1,69.8,69.8,69.8,70.5,69.2,70.5,70.5,70.5,70.5,72.4,72.4,72.4,72.4,70.2,71,69.6,69.2,68,65.4,64
Vietnam,50.9,51.5,51.5,52,52,53.1,52.8,52.8,53.1,52.5,52.5,52.1,53.2,53,54.9,55.8,55.8,55.8,57.1,55.4,55.4,56.5,57.4,57.4,57.4,57.4,57.6,57.8,59.5,61.8,58.1,59.8,60.9,59.5,59.5,61.6,61.6,61.6,59.1,59.1,59.1,59.3,59.3,59.3,59.9,57.3,53.3
Vanuatu,,,,,,45.6,47.8,47.8,48,48,48,48,48.6,48.6,48.6,48.8,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,51,48.8,48.9,50.9,49.2,49.4,49.4,48.3,48.3,48.5,48.5,48.5,48.2,48.4,48.4,48.1,48.4,45.1,46,46,44.2,44.2
Yemen,4.3,4.3,4.3,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,6.71,17.6,18.5,18.5,19.5,17.5,16.7,16.6,14.8,14.8,16.6,14.8,16.6,14.8,14.8,16.7,17.4,17.4,17.4,15.6,15.6,15.6,16.2,16.2,18,17.1,9.59,18.8,14.1,16.1,15.4,11.2,13.5
South Africa,20.7,20.7,20.7,20.7,20.7,20.9,17.2,17.2,17.2,23.2,22.9,22.9,23.1,25.1,24.7,27.4,27.5,27.5,28.5,54.2,61,66.1,64.2,64.2,65.1,67,67.1,67.1,62.5,63.4,65.3,65.3,65.3,65.3,65.7,65.7,65.7,65.7,62.3,62.7,62.7,62.8,62.7,62.7,63.6,61.1,61.1
Zambia,35.2,35.2,35.2,35.3,35.3,36.6,37.4,37.6,37.1,37.1,37.1,37.3,37.3,37.8,38.2,41.9,41.7,44.7,44.7,44.7,44.7,45.1,45.1,45.3,45.3,48.5,48.6,48.6,48.6,48.6,47.5,47.9,48.8,48.8,47.9,49.8,48.3,49.5,50.5,49.5,49,49,48.4,53.8,55.9,53.2,51.7
Zimbabwe,21.3,21.3,21.3,21.3,21.3,40,42.8,44.3,44.2,44.3,44.4,44.6,44.7,44.6,44.6,43.7,45.9,46.2,46.2,46.2,46.6,46.6,46.8,46.8,46.8,49.6,49.6,49.6,49.8,49.8,50.4,50.4,50.4,50.4,49.5,51.7,52.6,52.6,53.1,52.7,52.2,54.6,54.3,53.8,52.8,52.5,55.6
